Student_ID,Name,Branch,Semester,Attendance,Python,DBMS,DSA,Assignments,Previous_GPA,Final_Grade
1001,Harsha1,CSE,3,64,82,47,67,9,8.31,C
1002,Pooja2,CSE,3,65,71,71,88,9,7.7,B
1003,Keerthi3,CSE,3,68,81,53,84,4,6.26,B
1004,Kiran4,CSE,3,55,51,99,60,10,7.74,B
1005,Kiran5,CSE,3,97,51,89,92,4,8.04,B
1006,Teja6,CSE,3,90,43,81,90,8,8.82,B
1007,Deepika7,CSE,3,86,58,71,73,8,6.11,C
1008,Nikhil8,CSE,3,99,91,36,46,10,9.01,C
1009,Rahul9,CSE,3,93,54,70,72,4,6.28,C
1010,Sravani10,CSE,3,90,39,63,54,6,7.58,D
1011,Rohan11,CSE,3,96,52,67,71,8,9.15,C
1012,Deepika12,CSE,3,63,52,51,52,9,8.69,D
1013,Keerthi13,CSE,3,70,88,61,36,8,7.11,C
1014,Sravani14,CSE,3,87,42,68,60,10,8.39,C
1015,Rohan15,CSE,3,64,70,98,83,10,8.84,B
1016,Deepika16,CSE,3,98,73,93,74,10,8.49,B
1017,Kiran17,CSE,3,62,68,53,40,5,7.33,D
1018,Anjali18,CSE,3,68,98,55,51,9,7.63,C
1019,Teja19,CSE,3,90,71,70,43,6,7.13,C
1020,Keerthi20,CSE,3,73,95,49,64,9,6.8,C
1021,Sravani21,CSE,3,59,53,93,65,7,9.45,B
1022,Priya22,CSE,3,60,69,52,95,10,6.86,B
1023,Varun23,CSE,3,56,69,71,48,5,7.1,C
1024,Anjali24,CSE,3,68,98,48,57,8,7.85,C
1025,Sneha25,CSE,3,55,59,59,94,7,8.63,B
1026,Nikhil26,CSE,3,99,91,98,93,9,6.93,A
1027,Sneha27,CSE,3,100,67,59,80,10,7.24,C
1028,Meera28,CSE,3,93,94,37,50,7,6.56,C
1029,Priya29,CSE,3,71,56,89,61,8,8.55,C
1030,Rahul30,CSE,3,74,43,87,44,7,8.53,C
1031,Anjali31,CSE,3,83,95,88,48,4,7.34,B
1032,Varun32,CSE,3,66,91,46,91,8,8.38,B
1033,Rahul33,CSE,3,64,52,79,69,6,6.88,C
1034,Harsha34,CSE,3,58,55,68,76,5,7.21,C
1035,Anjali35,CSE,3,78,93,39,42,4,6.1,C
1036,Deepika36,CSE,3,93,84,60,100,9,6.63,B
1037,Keerthi37,CSE,3,64,45,48,52,9,7.04,D
1038,Anjali38,CSE,3,71,70,81,80,5,8.4,B
1039,Arjun39,CSE,3,59,80,59,41,4,5.91,C
1040,Divya40,CSE,3,74,85,95,81,8,9.46,A
1041,Akhil41,CSE,3,79,55,49,67,7,8.23,C
1042,Rahul42,CSE,3,65,70,37,85,7,5.54,C
1043,Vikram43,CSE,3,55,61,43,45,4,8.48,D
1044,Teja44,CSE,3,74,41,76,60,4,8.63,C
1045,Vikram45,CSE,3,73,89,37,68,4,9.17,C
1046,Meera46,CSE,3,67,46,55,59,6,7.08,D
1047,Akhil47,CSE,3,72,52,46,83,10,8.59,C
1048,Anjali48,CSE,3,69,86,63,75,10,6.77,B
1049,Nikhil49,CSE,3,87,69,99,73,9,5.55,B
1050,Akhil50,CSE,3,98,95,63,100,9,8.05,A
1051,Vikram51,CSE,3,80,67,45,78,8,8.73,C
1052,Arjun52,CSE,3,92,80,88,78,7,5.87,B
1053,Anjali53,CSE,3,88,84,57,40,4,5.62,C
1054,Akhil54,CSE,3,61,94,42,97,9,8.05,B
1055,Arjun55,CSE,3,89,64,92,63,4,7.96,B
1056,Teja56,CSE,3,65,70,37,92,4,9.15,C
1057,Meera57,CSE,3,60,95,98,80,8,6.73,A
1058,Varun58,CSE,3,66,79,57,43,8,8.28,C
1059,Sneha59,CSE,3,78,84,94,71,5,8.03,B
1060,Harsha60,CSE,3,82,75,47,49,8,7.93,C
1061,Nikhil61,CSE,3,79,95,94,71,10,6.09,A
1062,Meera62,CSE,3,60,84,42,50,10,8.69,C
1063,Kiran63,CSE,3,57,55,72,60,8,9.62,C
1064,Arjun64,CSE,3,70,56,80,36,4,8.29,C
1065,Deepika65,CSE,3,71,65,46,36,8,8.83,D
1066,Keerthi66,CSE,3,64,56,44,53,8,5.86,D
1067,Rahul67,CSE,3,89,68,89,83,10,5.62,B
1068,Divya68,CSE,3,100,49,80,46,5,9.21,C
1069,Pooja69,CSE,3,88,80,54,67,9,6.99,C
1070,Rohan70,CSE,3,90,61,72,65,8,6.82,C
1071,Rahul71,CSE,3,83,89,41,81,7,7.32,B
1072,Anjali72,CSE,3,87,50,96,69,10,7.55,B
1073,Varun73,CSE,3,96,64,99,98,9,7.27,A
1074,Deepika74,CSE,3,77,81,86,64,9,7.32,B
1075,Deepika75,CSE,3,59,65,37,94,6,9.54,C
1076,Kiran76,CSE,3,64,58,84,65,4,6.78,C
